"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 25, 2021","35,381.9","34,718.5","35,381.9","33,875.3","1.65B","4.62%"
"Jul 24, 2021","33,818.5","33,713.4","33,930.8","33,408.0","1.63B","0.65%"
"Jul 23, 2021","33,600.0","32,295.5","33,600.0","32,040.8","1.63B","4.03%"
"Jul 22, 2021","32,297.4","32,116.5","32,580.1","31,729.4","1.48B","0.52%"
"Jul 21, 2021","32,130.9","29,806.9","32,800.0","29,518.4","2.60B","7.85%"
"Jul 20, 2021","29,793.5","30,841.8","31,035.2","29,303.1","1.82B","-3.38%"
"Jul 19, 2021","30,835.7","31,739.7","31,880.0","30,457.9","1.47B","-2.94%"
"Jul 18, 2021","31,770.0","31,507.8","32,399.9","31,227.0","1.14B","0.86%"
"Jul 17, 2021","31,499.8","31,379.5","31,914.2","31,203.9","1.07B","0.34%"
"Jul 16, 2021","31,392.2","31,879.2","32,237.9","31,072.0","1.54B","-1.39%"
"Jul 15, 2021","31,835.6","32,806.8","33,153.5","31,181.4","1.65B","-3.01%"
"Jul 14, 2021","32,822.2","32,761.7","33,053.7","31,608.9","1.52B","0.29%"
"Jul 13, 2021","32,726.8","33,092.5","33,306.9","32,260.4","1.35B","-1.17%"
"Jul 12, 2021","33,115.4","34,248.0","34,593.5","32,665.7","1.62B","-3.25%"
"Jul 11, 2021","34,227.5","33,530.4","34,580.9","33,316.3","1.07B","2.14%"
"Jul 10, 2021","33,510.0","33,825.4","34,220.9","33,066.0","1.17B","-0.85%"
"Jul 09, 2021","33,796.0","32,357.5","34,096.4","32,310.6","1.56B","2.83%"
"Jul 08, 2021","32,866.3","33,852.1","33,921.2","32,096.4","2.30B","-2.94%"
"Jul 07, 2021","33,862.3","34,177.3","35,031.4","33,795.8","1.86B","-0.90%"
"Jul 06, 2021","34,169.2","33,682.7","34,749.9","33,682.7","1.99B","1.43%"
"Jul 05, 2021","33,687.2","35,235.1","35,235.1","33,509.5","2.18B","-4.57%"
"Jul 04, 2021","35,298.7","35,495.4","35,835.7","35,298.7","1.54B","1.60%"
"Jul 03, 2021","34,742.5","33,796.5","34,742.5","33,555.8","1.48B","2.74%"
"Jul 02, 2021","33,815.5","33,496.5","33,815.5","32,767.9","1.87B","0.91%"
"Jul 01, 2021","33,511.9","35,024.4","35,024.4","33,252.8","2.41B","-4.31%"
"Jun 30, 2021","35,021.5","35,882.1","36,054.5","34,206.9","2.69B","-2.26%"
"Jun 29, 2021","35,832.5","34,522.6","36,391.6","34,522.6","3.23B","3.94%"
"Jun 28, 2021","34,474.0","34,657.3","34,886.3","34,133.1","2.84B","-0.56%"
"Jun 27, 2021","34,669.6","32,284.7","34,669.6","32,284.7","3.20B","7.61%"
"Jun 26, 2021","32,216.7","31,568.4","32,260.9","30,404.4","3.38B","1.97%"
"Jun 25, 2021","31,595.5","34,663.1","35,391.9","31,595.5","3.85B","-8.88%"
"Jun 24, 2021","34,673.6","33,615.6","34,925.0","32,482.8","2.93B","2.97%"
"Jun 23, 2021","33,673.6","32,440.0","34,159.0","32,440.0","4.28B","3.67%"
"Jun 22, 2021","32,482.1","31,710.1","32,920.8","29,933.2","6.41B","2.49%"
"Jun 21, 2021","31,694.4","35,589.0","35,589.0","31,694.4","5.55B","-10.96%"
"Jun 20, 2021","35,594.5","35,510.4","35,782.2","34,000.0","3.12B","0.25%"
"Jun 19, 2021","35,505.2","35,757.6","36,154.3","34,996.7","2.45B","-0.68%"
"Jun 18, 2021","35,747.0","38,090.5","38,090.5","35,448.8","3.51B","-6.04%"
"Jun 17, 2021","38,043.2","38,342.2","39,348.8","37,685.0","3.07B","-0.76%"
"Jun 16, 2021","38,333.4","40,143.8","40,285.0","38,333.4","3.45B","-4.54%"
"Jun 15, 2021","40,155.9","40,518.1","40,628.1","39,984.3","3.25B","-0.93%"
"Jun 14, 2021","40,532.3","39,152.0","40,648.0","38,933.5","4.32B","3.86%"
"Jun 13, 2021","39,024.2","35,539.6","39,024.2","34,962.1","3.21B","10.03%"
"Jun 12, 2021","35,467.5","37,334.3","37,334.3","35,240.1","3.13B","-4.93%"
"Jun 11, 2021","37,307.8","36,712.1","37,307.8","36,166.3","2.90B","1.82%"
"Jun 10, 2021","36,641.3","37,405.6","38,026.0","36,432.1","4.06B","-1.96%"
"Jun 09, 2021","37,374.8","33,314.0","37,374.8","32,571.9","4.79B","11.99%"
"Jun 08, 2021","33,372.0","33,504.9","33,577.7","31,610.3","4.03B","-0.60%"
"Jun 07, 2021","33,573.9","35,776.9","36,675.9","33,573.9","2.76B","-6.27%"
"Jun 06, 2021","35,818.9","35,509.0","36,268.9","35,509.0","1.71B","0.86%"
"Jun 05, 2021","35,512.4","36,859.9","37,752.8","35,348.0","2.56B","-3.59%"
"Jun 04, 2021","36,835.1","39,251.4","39,251.4","36,472.6","3.38B","-5.98%"
"Jun 03, 2021","39,177.5","37,553.5","39,177.5","37,341.9","2.93B","4.35%"
"Jun 02, 2021","37,545.0","36,750.0","37,982.0","36,238.5","2.52B","2.33%"
"Jun 01, 2021","36,689.7","37,221.7","37,606.5","36,160.0","2.97B","-1.63%"
"May 31, 2021","37,297.5","35,538.8","37,297.5","34,470.1","3.41B","4.63%"
"May 30, 2021","35,647.8","34,603.2","36,161.4","33,843.3","2.60B","3.11%"
"May 29, 2021","34,574.1","35,658.6","36,895.0","33,711.2","3.95B","-3.03%"
"May 28, 2021","35,654.0","38,540.9","38,540.9","35,090.7","4.93B","-7.11%"
"May 27, 2021","38,381.8","39,197.0","39,965.4","37,500.3","3.36B","-2.16%"
"May 26, 2021","39,230.0","38,336.5","40,603.1","38,336.5","4.11B","2.22%"
"May 25, 2021","38,377.4","38,667.8","38,835.3","37,040.2","4.25B","-0.94%"
